timestamp,timestamp_local,line,category,characters,sha256,user_message_ordinal,intervention_kind,excerpt
2026-09-14T22:39:37.625000Z,2026-09-15T00:39:37.625000+02:00,6,injected-repository-context,13609,65d151bbbd957a9512bf89413b33988ecb4e9f73cce258cfdd60aca9d2dbdbaa,,,
2026-09-14T22:39:37.794000Z,2026-09-15T00:39:37.794000+02:00,9,user,222,e93a2be23707372dfd33a49c2763e54dd7f894791cbe6ff8da4c2f45e4b75b8d,1,kickoff,
2026-09-14T22:39:37.847000Z,2026-09-15T00:39:37.847000+02:00,11,injected-skill-context,1276,c5940f509136ee078e786fc7825c62964fb640713582ef28d39c61575e428234,,,
2026-09-14T22:39:37.866000Z,2026-09-15T00:39:37.866000+02:00,12,injected-skill-context,4307,376565cc5647344cca0466970eb7f10668c84937e25f9d813c2dd1cd0dd93e8c,,,
2026-09-14T22:53:18.188000Z,2026-09-15T00:53:18.188000+02:00,221,user,161,a9077e12689fd9a201408fed7b49f48544690dabf6066e3b061f2147d516091d,2,resource-policy-clarification,
2026-09-14T23:08:55.885000Z,2026-09-15T01:08:55.885000+02:00,436,user,55,6d21079b5085b6a955701a97c308f512883f98f5ef36cd439f51ae6eb42367fc,3,external-capacity-unblock,
2026-09-15T05:36:43.737000Z,2026-09-15T07:36:43.737000+02:00,4596,automatic-goal-continuation,6042,4c573e0d316f30bed19d0f254beb807558c613eed333e5d2ce2a80a5e91769da,,,
2026-09-15T19:53:15.899000Z,2026-09-15T21:53:15.899000+02:00,4645,user,303,17c1bb5c030e168702d11209e0eae8a36bfec9374728ee39b9dc3700b3a40708,4,scope-and-publication-request,
2026-09-15T19:54:10.994000Z,2026-09-15T21:54:10.994000+02:00,4662,automatic-goal-continuation,713,cb472b9398d8dd159974cd42942b6101b3f16d8b06006d956d9f03a37ffa1f44,,,
2026-09-15T21:53:29.071000Z,2026-09-15T23:53:29.071000+02:00,5082,user,179,f2d6e7262deb1fabdbe99e04a147f39659d86b11824409c66c3e5fe0433df21c,5,production-intent-correction,
2026-09-15T22:00:02.636000Z,2026-09-16T00:00:02.636000+02:00,5290,injected-environment-context,1279,b404548594394ea1eabe62daf3cc71ec1b18d3a914e83887c18b4e65dae3bc9c,,,
2026-09-15T22:19:19.688000Z,2026-09-16T00:19:19.688000+02:00,5736,user,166,28cc6407d5f35962b3e106e3777a2b6d5ddb7e15e5d14e6e70cf6452722832bd,6,orchestration-routing-correction,
